Nom;Prénom;Immatriculation;Nombre de jours;Nombre d'heures;Salaire
Becker;Anthony;IM-3592-F;29.0;135;87000.0
Reid;Catherine;IM-5107-D;29.0;235;87000.0
Johnston;Peter;IM-8246-V;29.0;3;87000.0
Wood;Tina;IM-8727-V;29.0;230;87000.0
Johnson;Andrew;IM-9332-J;29.0;91;87000.0
Woodward;Jackson;IM-7367-V;29.0;39;87000.0
Martinez;Jason;IM-1203-O;29.0;20;87000.0
Owen;Sharon;IM-6503-X;29.0;139;87000.0
Johnson;Ronald;IM-5601-E;29.0;195;87000.0
Garcia;Jordan;IM-8894-L;29.0;73;87000.0
Walker;Deborah;IM-6885-S;29.0;228;87000.0
Bell;Henry;IM-3168-W;29.0;99;87000.0
Gordon;Benjamin;IM-7789-U;29.0;0;87000.0
Garcia;Vanessa;IM-4150-W;29.0;40;87000.0
Gonzalez;Michael;IM-4922-H;29.0;114;87000.0
Dennis;Mary;IM-7203-W;29.0;172;87000.0
Sellers;Gary;IM-7789-B;29.0;223;87000.0
Chambers;Tammy;IM-7852-Y;29.0;181;87000.0
Brown;Erica;IM-1766-F;29.0;16;87000.0
Bruce;Matthew;IM-5247-W;29.0;114;87000.0
King;Candice;IM-9643-P;29.0;143;87000.0
Ramos;Gregory;IM-1001-B;29.0;83;87000.0
Ruiz;Robert;IM-6112-O;29.0;207;87000.0
Carroll;William;IM-7801-G;29.0;162;87000.0
Collins;Michael;IM-2367-X;29.0;3;87000.0
Monroe;John;IM-7583-V;29.0;80;87000.0
Castro;Alexander;IM-1055-G;29.0;183;87000.0
Harmon;Matthew;IM-1038-V;29.0;156;87000.0
Williams;Juan;IM-2602-G;29.0;155;87000.0
Allen;Stephanie;IM-4252-J;29.0;176;87000.0
Bell;Keith;IM-3985-D;29.0;218;87000.0
Howard;Stacey;IM-7499-U;29.0;5;87000.0
Schultz;Christine;IM-5500-O;29.0;202;87000.0
Baldwin;Paul;IM-2896-I;29.0;167;87000.0
Perry;Debra;IM-9533-U;29.0;88;87000.0
Smith;James;IM-2885-E;29.0;217;87000.0
Cook;John;IM-1304-B;29.0;52;87000.0
Walsh;Nicholas;IM-5254-R;29.0;93;87000.0
Hutchinson;Ashley;IM-1688-X;29.0;179;87000.0
Perry;Richard;IM-9101-W;29.0;231;87000.0
Miles;Robert;IM-8514-U;29.0;95;87000.0
Bates;Brandon;IM-9813-F;29.0;96;87000.0
